seqnames,start,end,strand,gene_id,gene_name
chr1,2323214,2336883,+,ENSG00000157916,RER1
chr1,2335403,2345236,-,ENSG00000157911,PEX10
chr1,2357419,2436969,+,ENSG00000149527,PLCH2
chr1,2423739,2424697,-,ENSG00000224387,AL139246.1
chr1,2424876,2425918,-,ENSG00000229393,AL139246.4
chr1,2439972,2458067,-,ENSG00000157881,PANK4
chr1,2460184,2461684,-,ENSG00000197921,HES5
chr1,2477904,2478899,+,ENSG00000272449,AL139246.5
chr1,2481359,2488470,-,ENSG00000238164,TNFRSF14-AS1
chr1,2487078,2496821,+,ENSG00000157873,TNFRSF14
chr1,2497849,2501327,+,ENSG00000225931,AL139246.2
chr1,2512999,2515972,+,ENSG00000228037,AL139246.3
chr1,2517930,2522908,+,ENSG00000157870,FAM213B
chr1,2522078,2564429,-,ENSG00000142606,MMEL1
chr1,2564007,2568059,+,ENSG00000237058,AL831784.1
chr1,2567415,2718282,-,ENSG00000215912,TTC34
chr1,2690149,2693019,+,ENSG00000283259,AC242022.1
chr1,2728415,2729257,-,ENSG00000233234,AL592464.2
chr1,2730997,2731563,-,ENSG00000231630,AL592464.1
chr1,2877223,2885272,-,ENSG00000284745,AL589702.1
chr1,2938047,2939467,+,ENSG00000169717,ACTRT2
chr1,2976179,2985001,-,ENSG00000177133,LINC00982
chr1,2985732,3355185,+,ENSG00000142611,PRDM16
chr1,3049491,3050273,-,ENSG00000226286,AL008733.1
chr1,3122552,3125228,+,ENSG00000279839,AL512383.1
chr1,3223200,3226660,-,ENSG00000272235,AL590438.1
chr1,3370990,3397677,+,ENSG00000130762,ARHGEF16
chr1,3403810,3404191,+,ENSG00000272088,AL512413.1
chr1,3406484,3528059,-,ENSG00000162591,MEGF6
chr1,3477259,3477354,-,ENSG00000207776,MIR551A
chr1,3539754,3541307,-,ENSG00000238260,AL513320.1
chr1,3541566,3546691,+,ENSG00000158109,TPRG1L
chr1,3547331,3569325,-,ENSG00000116213,WRAP73
chr1,3569084,3652765,+,ENSG00000078900,TP73
chr1,3575502,3585336,-,ENSG00000227589,AL136528.1
chr1,3628764,3630862,-,ENSG00000235131,AL136528.2
chr1,3652165,3663900,-,ENSG00000227372,TP73-AS1
chr1,3663024,3688209,+,ENSG00000162592,CCDC27
chr1,3689352,3692546,+,ENSG00000235169,SMIM1
chr1,3695122,3713068,-,ENSG00000130764,LRRC47
chr1,3699379,3699673,+,ENSG00000266075,RN7SL574P
chr1,3701572,3702102,+,ENSG00000272153,AL365330.1
chr1,3728645,3773778,-,ENSG00000116198,CEP104
chr1,3773831,3801993,+,ENSG00000169598,DFFB
chr1,3800628,3800697,+,ENSG00000264428,AL691523.1
chr1,3805689,3816857,-,ENSG00000198912,C1orf174
chr1,3816936,3833789,+,ENSG00000236423,LINC01134
chr1,4000625,4015322,+,ENSG00000233304,LINC01346
chr1,4004607,4009040,-,ENSG00000226374,LINC01345
chr1,4036193,4072759,+,ENSG00000284668,AL805961.1
chr1,4072981,4079568,-,ENSG00000284703,AL805961.2
chr1,4235588,4235959,-,ENSG00000229280,EEF1DP6
chr1,4472087,4484749,+,ENSG00000235054,LINC01777
chr1,4539191,4544435,-,ENSG00000284694,AL355602.1
chr1,4611795,4612205,-,ENSG00000227169,Z98747.1
chr1,4631541,4654069,+,ENSG00000232596,LINC01646
chr1,4714792,4852594,+,ENSG00000196581,AJAP1
chr1,5024014,5033358,-,ENSG00000284739,BX005132.2
chr1,5033441,5041628,+,ENSG00000284674,BX005132.1
chr1,5146519,5150959,-,ENSG00000231510,AL691497.1
chr1,5361988,5367454,-,ENSG00000284616,AL139823.1
chr1,5538796,5553117,-,ENSG00000284692,Z98259.3
chr1,5540847,5542088,-,ENSG00000284666,Z98259.2
chr1,5553038,5554734,+,ENSG00000260972,Z98259.1
chr1,5614807,5614941,+,ENSG00000283356,Z97988.1
chr1,5621769,5728355,-,ENSG00000236948,AL365255.1
chr1,5624131,5624203,+,ENSG00000264341,MIR4417
chr1,5875931,5876019,-,ENSG00000216045,AL356693.1
chr1,5922732,5922801,-,ENSG00000264101,MIR4689
chr1,5922871,6052533,-,ENSG00000131697,NPHP4
chr1,5953899,5953984,-,ENSG00000266687,AL356261.1
chr1,6051526,6161253,+,ENSG00000069424,KCNAB2
chr1,6100630,6101399,-,ENSG00000268332,AL035406.1
chr1,6161853,6240183,-,ENSG00000116254,CHD5
chr1,6241329,6269449,-,ENSG00000116251,RPL22
chr1,6264900,6265840,-,ENSG00000226944,AL031847.1
chr1,6265535,6281359,+,ENSG00000158286,RNF207
chr1,6281253,6296032,-,ENSG00000116237,ICMT
chr1,6296300,6299504,+,ENSG00000225077,LINC00337
chr1,6304252,6305638,+,ENSG00000173673,HES3
chr1,6307406,6321035,-,ENSG00000158292,GPR153
chr1,6324329,6454451,-,ENSG00000097021,ACOT7
chr1,6453615,6454451,+,ENSG00000271746,AL031848.2
chr1,6472478,6484730,-,ENSG00000069812,HES2
chr1,6484848,6521430,+,ENSG00000187017,ESPN
chr1,6489894,6489956,-,ENSG00000265392,MIR4252
chr1,6503094,6507066,-,ENSG00000231868,AL031848.1
chr1,6521211,6526255,-,ENSG00000215788,TNFRSF25
chr1,6526152,6580121,-,ENSG00000171680,PLEKHG5
chr1,6581407,6614595,-,ENSG00000162408,NOL9
chr1,6600914,6601024,+,ENSG00000253022,RNU6-731P
chr1,6607965,6608679,+,ENSG00000229519,AL591866.1
chr1,6615241,6639817,+,ENSG00000173662,TAS1R1
chr1,6640061,6649340,+,ENSG00000204859,ZBTB48
chr1,6650784,6674667,-,ENSG00000162413,KLHL21
chr1,6673745,6684093,+,ENSG00000116273,PHF13
chr1,6684926,6695646,+,ENSG00000041988,THAP3
chr1,6694228,6761984,-,ENSG00000007923,DNAJC11
chr1,6784697,6790072,+,ENSG00000228750,LINC01672
chr1,6812779,6812881,+,ENSG00000239166,snoU13
chr1,6828014,6830098,+,ENSG00000284744,AL591163.1
chr1,6843952,6844903,-,ENSG00000237436,AL590128.2
chr1,6845384,7829766,+,ENSG00000171735,CAMTA1
chr1,6894393,6894678,-,ENSG00000227950,AL590128.1
chr1,7068436,7074339,-,ENSG00000237365,AL512330.1
chr1,7279420,7279584,+,ENSG00000207056,RNU1-8P
chr1,7429003,7430331,+,ENSG00000237402,CAMTA1-IT1
chr1,7442548,7449814,-,ENSG00000237728,Z97987.1
chr1,7501156,7501614,-,ENSG00000225126,AL365194.1
chr1,7753184,7754904,-,ENSG00000270171,AL359881.3
chr1,7758363,7758932,-,ENSG00000270035,AL359881.2
chr1,7760764,7761030,-,ENSG00000269978,AL359881.1
chr1,7831329,7841492,+,ENSG00000049245,VAMP3
chr1,7836443,7836835,+,ENSG00000269925,Z98884.2
chr1,7844380,7905237,+,ENSG00000049246,PER3
chr1,7870302,7887402,-,ENSG00000236266,Z98884.1
chr1,7903143,7913572,-,ENSG00000049247,UTS2
chr1,7975954,8003225,-,ENSG00000049249,TNFRSF9
chr1,8002432,8002786,+,ENSG00000270330,AL009183.1
chr1,8014351,8045565,+,ENSG00000116288,PARK7
chr1,8042941,8043043,-,ENSG00000200344,Y_RNA
chr1,8051194,8065372,+,ENSG00000284747,AL034417.4
chr1,8058247,8059994,-,ENSG00000284716,AL034417.3
chr1,8064464,8086368,-,ENSG00000116285,ERRFI1
chr1,8086798,8182762,+,ENSG00000238290,AL034417.2
chr1,8117305,8118523,-,ENSG00000232848,AL034417.1
chr1,8249884,8252830,+,ENSG00000229305,AL358876.1
chr1,8262489,8275270,+,ENSG00000227634,LINC01714
chr1,8266494,8266657,-,ENSG00000200975,RNU1-7P
chr1,8278250,8280589,-,ENSG00000233645,AL358876.2
chr1,8335184,8335438,-,ENSG00000265414,RN7SL729P
chr1,8352217,8352323,-,ENSG00000251977,RNU6-991P
chr1,8377886,8404227,+,ENSG00000162426,SLC45A1
chr1,8388127,8388239,+,ENSG00000252254,Y_RNA
chr1,8412457,8877702,-,ENSG00000142599,RERE
chr1,8484705,8494898,+,ENSG00000232912,AL096855.1
chr1,8571854,8571978,-,ENSG00000221083,SNORA77
chr1,8572712,8573080,+,ENSG00000270282,AL096855.2
chr1,8810489,8811146,+,ENSG00000234619,RPL7P11
chr1,8846270,8846972,-,ENSG00000224315,RPL7P7
chr1,8856633,8856731,-,ENSG00000222511,Y_RNA
chr1,8858534,8859565,+,ENSG00000226545,AL357552.1
chr1,8865919,8867110,-,ENSG00000228423,AL357552.2
chr1,8891066,8891434,+,ENSG00000229716,RPL23AP19
chr1,8921061,8939308,-,ENSG00000074800,ENO1
chr1,8935847,8938066,-,ENSG00000236269,ENO1-IT1
chr1,8938894,8939953,+,ENSG00000230679,ENO1-AS1
chr1,8943486,8943592,-,ENSG00000201725,RNU6-304P
chr1,8953468,8954210,+,ENSG00000238249,HMGN2P17
chr1,8967452,8967803,-,ENSG00000232208,AL139415.1
chr1,8969801,8969963,+,ENSG00000232663,AL139415.2
chr1,9005926,9035151,+,ENSG00000131686,CA6
chr1,9039637,9039933,-,ENSG00000265141,RN7SL451P
chr1,9063359,9086404,-,ENSG00000197241,SLC2A7
chr1,9095166,9148537,-,ENSG00000142583,SLC2A5
chr1,9142755,9142938,+,ENSG00000252404,SCARNA16
chr1,9160364,9189229,-,ENSG00000180758,GPR157
chr1,9208070,9257042,-,ENSG00000228526,MIR34AHG
chr1,9211727,9211836,-,ENSG00000207865,MIR34A
chr1,9242063,9256343,+,ENSG00000234546,LINC01759
chr1,9257202,9258965,-,ENSG00000281937,Z98044.1
chr1,9294834,9331396,+,ENSG00000049239,H6PD
chr1,9338450,9338592,+,ENSG00000252841,Z98044.1
chr1,9352939,9429591,+,ENSG00000171621,SPSB1
chr1,9481157,9482921,-,ENSG00000284652,BX323043.1
chr1,9485153,9500623,-,ENSG00000284693,AL928921.2
chr1,9497728,9497837,-,ENSG00000252956,RNA5SP40
chr1,9561151,9563530,-,ENSG00000235263,AL928921.1
chr1,9599541,9645237,+,ENSG00000171612,SLC25A33
chr1,9636485,9637043,+,ENSG00000231181,AL954705.1
chr1,9648980,9674931,+,ENSG00000188807,TMEM201
chr1,9711790,9789172,+,ENSG00000171608,PIK3CD
chr1,9712668,9714644,-,ENSG00000179840,PIK3CD-AS1
chr1,9720886,9722684,-,ENSG00000233268,AL691449.1
chr1,9732484,9747613,-,ENSG00000231789,PIK3CD-AS2
chr1,9789084,9884584,-,ENSG00000171603,CLSTN1
chr1,9840880,9841298,+,ENSG00000271264,MZT1P1
chr1,9886347,9888329,-,ENSG00000280113,AL357140.3
chr1,9908334,9970394,-,ENSG00000178585,CTNNBIP1
chr1,9908376,9910212,+,ENSG00000223989,AL357140.1
chr1,9982171,10003465,-,ENSG00000162441,LZIC
chr1,10002981,10010032,+,ENSG00000228150,AL357140.2
chr1,10003486,10045559,+,ENSG00000173614,NMNAT1
chr1,10007376,10007694,+,ENSG00000202415,RN7SKP269
chr1,10011289,10020890,-,ENSG00000283611,AL357140.4
chr1,10027439,10027516,+,ENSG00000265521,MIR5697
chr1,10043199,10044626,+,ENSG00000241326,AL603962.1
chr1,10057264,10076078,+,ENSG00000162444,RBP7
chr1,10078085,10078592,-,ENSG00000225786,AL590639.1
chr1,10092890,10241297,+,ENSG00000130939,UBE4B
chr1,10114503,10114839,-,ENSG00000224340,AL590639.1
chr1,10118729,10119706,+,ENSG00000233623,PGAM1P11
chr1,10223326,10223432,+,ENSG00000201746,RNU6-828P
chr1,10270863,10441661,+,ENSG00000054523,KIF1B
chr1,10287776,10287861,+,ENSG00000264881,MIR1273D
chr1,10359024,10359130,+,ENSG00000199562,RNU6-37P
chr1,10366523,10366813,+,ENSG00000264501,RN7SL731P
chr1,10441964,10447207,-,ENSG00000284735,AL139424.3
chr1,10450059,10450353,+,ENSG00000265945,RN7SL721P
chr1,10455473,10457489,+,ENSG00000284642,AL139424.2
chr1,10458649,10480201,+,ENSG00000142657,PGD
chr1,10489938,10490734,-,ENSG00000271989,AL139424.1
chr1,10490159,10512210,+,ENSG00000251503,CENPS-CORT
chr1,10490500,10502866,+,ENSG00000175279,CENPS
chr1,10509776,10511959,+,ENSG00000241563,CORT
chr1,10516579,10532583,-,ENSG00000160049,DFFA
chr1,10518612,10519395,+,ENSG00000203469,AL354956.1
chr1,10532345,10690815,+,ENSG00000142655,PEX14
chr1,10676893,10677170,+,ENSG00000243267,RN7SL614P
chr1,10696661,10856707,-,ENSG00000130940,CASZ1
chr1,10699298,10714390,+,ENSG00000272078,AL139423.1
chr1,10955818,10956055,+,ENSG00000225158,HSPE1P24
chr1,11006528,11042094,-,ENSG00000175262,C1orf127
chr1,11051035,11051854,-,ENSG00000215785,CFL1P6
chr1,11058233,11058320,-,ENSG00000264181,AL713997.1
chr1,11059919,11060002,-,ENSG00000207213,Y_RNA
chr1,11072401,11086477,+,ENSG00000120948,TARDBP
chr1,11072719,11090585,+,ENSG00000277726,AL109811.4
chr1,11086580,11107290,-,ENSG00000009724,MASP2
chr1,11089716,11090585,+,ENSG00000271895,AL109811.3
chr1,11114641,11120081,-,ENSG00000116649,SRM
chr1,11126675,11159938,-,ENSG00000171824,EXOSC10
chr1,11128528,11133154,+,ENSG00000226849,AL109811.1
chr1,11159732,11162157,+,ENSG00000230337,AL109811.2
chr1,11166592,11322564,-,ENSG00000198793,MTOR
chr1,11203955,11209594,+,ENSG00000225602,MTOR-AS1
chr1,11212407,11212509,+,ENSG00000253086,RNU6-537P
chr1,11229564,11229670,-,ENSG00000271794,snoU13
chr1,11249398,11256038,+,ENSG00000171819,ANGPTL7
chr1,11286311,11286417,+,ENSG00000207451,RNU6-291P
chr1,11293020,11293169,+,ENSG00000238173,RPL39P6
chr1,11333263,11356106,+,ENSG00000120942,UBIAD1
chr1,11338673,11339408,-,ENSG00000238199,UBE2V2P3
chr1,11371791,11379150,-,ENSG00000284646,AL031291.1
chr1,11485314,11485878,-,ENSG00000224338,MTCYBP45
chr1,11539223,11597641,+,ENSG00000204624,DISP3
chr1,11669588,11673412,+,ENSG00000235643,LINC01647
chr1,11683615,11703473,+,ENSG00000284708,AL031731.1
chr1,11697075,11715842,-,ENSG00000116661,FBXO2
chr1,11714432,11723384,+,ENSG00000132879,FBXO44
chr1,11724181,11734411,+,ENSG00000116663,FBXO6
chr1,11734537,11751707,-,ENSG00000116670,MAD2L2
chr1,11751786,11785914,+,ENSG00000162490,DRAXIN
chr1,11796141,11814859,+,ENSG00000177674,AGTRAP
chr1,11821844,11849642,+,ENSG00000215910,C1orf167
chr1,11837134,11839676,-,ENSG00000177553,AL953897.1
chr1,11845780,11866977,-,ENSG00000177000,MTHFR
chr1,11866153,11903201,+,ENSG00000011021,CLCN6
chr1,11901074,11908136,+,ENSG00000242349,NPPA-AS1
chr1,11905766,11908402,-,ENSG00000175206,NPPA
chr1,11917521,11918988,-,ENSG00000120937,NPPB
chr1,11937827,11940463,+,ENSG00000224904,AL021155.1
chr1,11968209,11968328,+,ENSG00000199347,RNU5E-1
chr1,11969865,11969984,-,ENSG00000201801,RNU5E-4P
chr1,11979648,11986485,-,ENSG00000116685,KIAA2013
chr1,11994262,12035595,+,ENSG00000083444,PLOD1
chr1,12040238,12073571,+,ENSG00000116688,MFN2
chr1,12077273,12077365,-,ENSG00000270914,AL096840.1
chr1,12079523,12092102,+,ENSG00000116691,MIIP
chr1,12084069,12084181,-,ENSG00000202461,Y_RNA
chr1,12096799,12097071,-,ENSG00000243539,RN7SL649P
chr1,12123434,12204264,+,ENSG00000120949,TNFRSF8
chr1,12137938,12138041,-,ENSG00000201135,RNU6-777P
chr1,12140350,12140604,-,ENSG00000227875,RPL23AP89
chr1,12227060,12269285,+,ENSG00000028137,TNFRSF1B
chr1,12251770,12251830,+,ENSG00000263676,MIR4632
chr1,12280851,12281166,-,ENSG00000225196,RPL10P17
chr1,12281205,12281328,-,ENSG00000252969,SNORA70
chr1,12290124,12572099,+,ENSG00000048707,VPS13D
chr1,12567300,12567451,+,ENSG00000239149,SNORA59A
chr1,12587766,12588462,+,ENSG00000229484,AC243836.1
chr1,12627939,12677737,-,ENSG00000162496,DHRS3
chr1,12630000,12630100,-,ENSG00000221340,RNU6ATAC18P
chr1,12678906,12679250,-,ENSG00000272482,AC254633.1
chr1,12704566,12727097,+,ENSG00000204518,AADACL4
chr1,12752925,12753036,+,ENSG00000226166,AC244670.1
chr1,12776118,12788726,+,ENSG00000188984,AADACL3
chr1,12799693,12799796,+,ENSG00000238771,snoU13
chr1,12806163,12823847,+,ENSG00000157330,C1orf158
chr1,12834984,12838049,+,ENSG00000116726,PRAMEF12
chr1,12851546,12856777,+,ENSG00000116721,PRAMEF1
chr1,12882549,12883022,-,ENSG00000228338,LINC01784
chr1,12884468,12891264,-,ENSG00000204513,PRAMEF11
chr1,12897978,12901210,-,ENSG00000231103,PRAMEF30P
chr1,12907261,12908578,-,ENSG00000179172,HNRNPCL1
chr1,12916941,12921764,+,ENSG00000120952,PRAMEF2
chr1,12939045,12946025,-,ENSG00000243073,PRAMEF4
chr1,12952727,12958101,-,ENSG00000187545,PRAMEF10
chr1,12976430,12980302,+,ENSG00000204510,PRAMEF7
chr1,12982374,12982480,+,ENSG00000207434,RNU6-1072P
chr1,12985990,12988081,+,ENSG00000234064,PRAMEF29P
chr1,12998302,13007406,-,ENSG00000232423,PRAMEF6
chr1,13012966,13015755,-,ENSG00000250894,RP11-450I1.4
chr1,13035543,13038381,+,ENSG00000204508,PRAMEF22
chr1,13052394,13052998,-,ENSG00000239810,WI2-3308P17.2
chr1,13108842,13112679,-,ENSG00000270601,PRAMEF23
chr1,13123246,13126086,-,ENSG00000250113,RP13-221M14.6
chr1,13140456,13145000,+,ENSG00000204505,PRAMEF25
chr1,13146777,13147256,+,ENSG00000233336,RP13-221M14.2
chr1,13162645,13165443,-,ENSG00000229978,RP13-221M14.3
chr1,13162650,13165443,-,ENSG00000277862,PRAMEF34P
chr1,13171871,13173157,-,ENSG00000236179,PRAMEF35P
chr1,13182968,13184326,-,ENSG00000275774,HNRNPCL2
chr1,13182991,13183872,-,ENSG00000179412,HNRNPCL4
chr1,13216356,13219581,-,ENSG00000229571,PRAMEF26
chr1,13328196,13331692,-,ENSG00000204503,PRAMEF3
chr1,13351482,13354323,+,ENSG00000233394,RP11-248D7.2
chr1,13359819,13369057,+,ENSG00000204502,PRAMEF5
chr1,13379149,13381237,-,ENSG00000231219,PRAMEF32P
chr1,13384735,13384841,-,ENSG00000207511,RNU6-771P
chr1,13386646,13390765,-,ENSG00000182330,PRAMEF8
chr1,13411551,13414482,+,ENSG00000237700,RP11-219C24.6
chr1,13421176,13428191,+,ENSG00000204501,PRAMEF9
chr1,13429634,13430113,+,ENSG00000228229,RP11-219C24.10
chr1,13447556,13452656,-,ENSG00000279169,PRAMEF13
chr1,13448050,13450861,-,ENSG00000274178,PRAMEF28P
